units,process,Tilden,Hibbing,United,Minorca,Northshore
WLT/Yr,capacity,7457805,7400230,4841000,2787480,4541386
USD/LTP,opex_std,48.66003278,49.31140012,53.73089275,64.92175978,54.64185122
USD/LTP,opex_drg,77.20462954,68.45029261,89.36613254,77.20462954,73.79746347
USD,capex_std,1497234175,1204722994,873562057.6,616834719.1,896467052.9
USD,capex_drg,1146741705,1060343358,1248848844,1146741705,1131032914
